Name	ExpectedValue	SuggestedCost
Top of the World	4.246	1
Back Pocket	3.1	1
Old Faithful	3.3	1
Full Send	8.268	1
Catch Yourself	3.5666666663999997	1
Getting There	3.5	1
Muscle Memory	4.5	1
Good Vibes	7.699999999999999	4
Living the Life	9.0	4
On a Roll	10.1	5
Locked In	3.981818181818182	3
In the Groove	5.4399999999999995	3
Read the Room	6.181818181818182	3
Clean Line	6.08	3
Textbook Turn	7.279999999999999	4
Nothing to It	8.08	4
Sticking It	7.9799999999999995	4
Coldblooded	9.08	4
Living Legend	10.18	5
Blind Luck	7.18	4
Hail Mary	8.28	4
Window Shopping	11.570650581881086	5
Second Look	12.670650581881088	6
Cherry Picking	13.570650581881086	6
Weigh Your Odds	13.470650581881086	6
Game Plan	13.470650581881086	6
One Step Ahead	14.570650581881086	6
Master Plan	15.270650581881087	7
Dig Deep	0.15399472162545003	2
Trade Up	1.0539947216254504	2
Fresh Start	1.9539947216254498	2
Clean Sweep	2.95399472162545	2
Warm Up	4.6890909090909085	3
Upping the Ante	6.536363636363636	4
Double Down	7.3	4
All In	7.827272727272727	4
Buy In	6.254545454545454	4
Go Big	7.672727272727273	4
High Roller	8.690909090909091	4
Sky’s the Limit	9.18909090909091	4
Chain Reaction	6.001818181818182	3
Domino Effect	7.201818181818182	4
Riding the Wave	8.401818181818182	4
One Good Turn	8.80181818181818	4
Clean Slate	9.070650581881086	4
Fresh Eyes	10.070650581881086	5
Total Reset	11.070650581881086	5
Burn It Down	13.170650581881088	6
Do It Again	5.455865422609016	3
Echo Effect	6.755865422609016	4
Encore	6.4558654226090155	4
Riding the Echo	7.255865422609016	4
Steady Now	5.2333333328	3
Second Chance	6.8666666664000005	4
Recovery Mode	8.0	4
Quick Fix	5.7666666664	3
Take Two	7.5	4
Clutch Save	8.7333333336	4
Save It	6.300000000000001	4
Double Trouble	7.4333333336	4
Twice Blessed	8.8666666672	4
Two Birds	7.1666666664	4
Both Barrels	8.7	4
Nerves of Steel	9.833333333599999	5
Nothing But Net	11.866666666399999	5
Ice Cold	10.8	5
Beat the Odds	9.333333333599999	5
Buzzer Beater	12.100000000000001	5
Nick of Time	13.3	6
Last Gasp	14.0	6
Leveling Up	4.7	3
Step It Up	4.6	3
Raise the Bar	5.699999999999999	3
Kick It Up	5.2	3
Next Level	6.699999999999999	4
No Half Measures	6.4	4
Cash It In	4.54	3
Wildcard Win	5.54	3
Long Shot	6.54	4
Jackpot	8.24	4
Stick to It	4.518181818181818	3
In Your Element	5.414545454545454	3
In the Zone	6.912727272727272	4
Saw It Coming	6.0	3
Two Steps Ahead	5.2	3
Called It	7.0	4
Last Push	2.9831957773003603	2
Empty the Tank	3.9831957773003603	3
All Or Nothing	4.78319577730036	3
Riding the High	7.01680422269964	4
Runner’s High	8.01680422269964	4
Fueled Up	9.01680422269964	4
Breather	7.260605806212005	4
Second Wind	7.160605806212004	4
Recharge	7.060605806212005	4
Clear It Out	3.1	2
Cut the Fat	4.3	3
Spring Cleaning	4.8	3
First Look	3.714	3
Know the Owner	5.014	3
In the Know	5.714	3
Fresh Kit	4.95278167470357	3
Fresh Gear	4.968434697700324	3
First in Line	6.068434697700325	3
Bootpack It	4.23	3
Hike It Out	5.23	3
Earn Your Turns	5.93	3
